Image_No,Similarity_Score
359,0.6684678047895432
240,0.6683501452207565
409,0.6683186441659927
258,0.6682284474372864
457,0.6680716425180435
388,0.6667671054601669
177,0.665201336145401
169,0.663992628455162
498,0.6622771173715591
254,0.6609488129615784
45,0.6594771146774292
107,0.6587065160274506
354,0.6586560606956482
113,0.6581373959779739
165,0.6580652445554733
98,0.657546803355217
315,0.6571214199066162
192,0.6563813239336014
89,0.6561483889818192
168,0.6519227623939514
218,0.6519007086753845
52,0.6489485502243042
411,0.6484149843454361
333,0.648229330778122
18,0.6473962217569351
213,0.6467314213514328
491,0.6452199220657349
239,0.6437541246414185
57,0.643504723906517
374,0.6420872956514359
494,0.6415645182132721
338,0.6405820250511169
401,0.6399930566549301
242,0.6398458033800125
519,0.6390248537063599
408,0.6386367380619049
220,0.638462707400322
131,0.6377117037773132
172,0.6365895569324493
88,0.6364189237356186
352,0.6359293311834335
549,0.6317662447690964
13,0.631437286734581
82,0.6287806779146194
385,0.6287096291780472
361,0.6278470605611801
417,0.62708580493927
393,0.6254805028438568
449,0.6254658848047256
511,0.6250653564929962
199,0.6245922818779945
141,0.6224389746785164
545,0.6215519458055496
133,0.6203275695443153
179,0.6198108941316605
550,0.6195952668786049
27,0.6175912767648697
124,0.6157826706767082
357,0.6156494244933128
441,0.6144306659698486
83,0.6138621494174004
290,0.6129913330078125
381,0.6128730550408363
467,0.6118030101060867
421,0.6101833283901215
450,0.6084316596388817
34,0.6066293194890022
334,0.6046075373888016
345,0.604363314807415
178,0.6033603250980377
44,0.6016201749444008
430,0.6008543521165848
300,0.5993656739592552
451,0.59909438341856
558,0.5963038206100464
67,0.5962449237704277
268,0.5955457538366318
185,0.595366008579731
399,0.5950580760836601
471,0.5939915031194687
127,0.5939312279224396
502,0.5931552350521088
147,0.5929910019040108
97,0.5929632410407066
452,0.5926998183131218
528,0.5884124934673309
80,0.5863309875130653
101,0.5840787515044212
202,0.5839764401316643
272,0.5819208845496178
418,0.5816537439823151
33,0.5781541094183922
236,0.5775942578911781
443,0.5768712982535362
420,0.5736439004540443
547,0.5698496326804161
291,0.5688540264964104
500,0.5669399574398994
317,0.5668798610568047
217,0.5663871765136719
267,0.5654400512576103
414,0.5638679042458534
260,0.5637411847710609
106,0.5598678514361382
396,0.5587337464094162
100,0.557978942990303
292,0.5565638206899166
371,0.5542132221162319
327,0.5541099645197392
159,0.5536895655095577
65,0.5530607923865318
424,0.5526260286569595
375,0.5520361922681332
286,0.5472656041383743
499,0.5464658923447132
245,0.5451142340898514
273,0.5434600450098515
447,0.5423798598349094
480,0.5422848351299763
440,0.5422673672437668
314,0.5411271266639233
324,0.5405693203210831
99,0.5393629819154739
335,0.538791298866272
188,0.5372224301099777
117,0.5354726426303387
214,0.5327474735677242
230,0.532378476113081
152,0.5315777994692326
222,0.5309135224670172
182,0.5304231103509665
536,0.5301287323236465
529,0.5245735086500645
466,0.5241516325622797
552,0.5207131952047348
85,0.5204184912145138
229,0.5193501953035593
312,0.5192774217575788
19,0.5183493010699749
238,0.5167980436235666
109,0.5155713055282831
479,0.5154412733390927
379,0.515156215056777
189,0.5134719600901008
167,0.5110841486603022
233,0.5108720678836107
171,0.5105827823281288
164,0.5078650591894984
17,0.5076401974074543
387,0.5063783195801079
425,0.5042333505116403
114,0.5031062799971551
92,0.5019186760764569
241,0.5007534089963883
470,0.49644696712493896
55,0.49268681462854147
372,0.4912721998989582
153,0.49014328699558973
203,0.4901009676977992
331,0.4898837246000767
184,0.48943173233419657
402,0.4890917642042041
130,0.48609119839966297
142,0.4858048027381301
556,0.48299406096339226
135,0.4818983543664217
514,0.4787917621433735
25,0.477095739915967
211,0.47514568641781807
429,0.47509857825934887
205,0.47429423592984676
248,0.47404234297573566
512,0.4731932170689106
478,0.47291671112179756
151,0.4716815669089556
373,0.4704145137220621
363,0.4683617539703846
158,0.4681253544986248
196,0.467576265335083
93,0.4661475084722042
509,0.466144897043705
515,0.46475598588585854
366,0.4605552591383457
252,0.45832059532403946
216,0.45631225407123566
28,0.4559341073036194
347,0.45557547360658646
455,0.45311202108860016
123,0.4521709866821766
356,0.45197488367557526
