Image_No1,My_Algorithm,Image_No2,Graph_Edit_Distance
11,0.281149268,392,8
344,0.279856652,396,8
63,0.278712824,399,8
150,0.275504783,400,8
280,0.272752643,404,8
476,0.271533683,409,8
458,0.26927124,411,8
86,0.269197434,414,8
325,0.268416435,418,8
23,0.266720042,428,8
307,0.263795897,434,8
118,0.261350125,439,8
264,0.259317517,441,8
534,0.252738029,444,8
377,0.245757043,445,8
269,0.243625343,446,8
5,0.239951521,449,8
42,0.239773899,450,8
386,0.239767402,452,8
12,0.237893611,454,8
282,0.235965014,458,8
539,0.23589918,461,8
309,0.233490229,462,8
253,0.229480803,476,8
410,0.226322383,489,8
341,0.226268411,492,8
513,0.221517861,496,8
486,0.219175726,499,8
224,0.216658026,500,8
4,0.215781361,507,8
484,0.204907954,509,8
462,0.202585816,511,8
72,0.202310413,528,8
134,0.201532066,536,8
53,0.195921838,538,8
448,0.195002258,544,8
21,0.192793548,546,8
219,0.187087685,547,8
15,0.186002612,73,9
231,0.178136557,76,9
43,0.176593721,157,9
140,0.174978822,170,9
342,0.174881011,178,9
278,0.17374301,211,9
154,0.167836338,364,9
346,0.166666508,415,9
461,0.163593084,554,9
207,0.157406092,556,9
423,0.155021459,15,10
360,0.146897733,18,10
299,0.143911153,141,10
139,0.143721908,216,10
246,0.138803393,250,10
201,0.137173265,284,10
94,0.117433101,300,10
186,0.108659118,377,10
532,0.054173797,424,10
541,0.011282712,455,10
394,0.008977175,419,11
